Node,Full_Bandwidth,Average_Delay_Time_Per_Sec,Packet Size_Byte,Packet_Transmitted,Packet_lost,Transmitted_Byte,AVG-Drop-Rate,AVG-Bandwith-Use,Node Status,Flood Status,Class
9,900,0.000406,1440,81276,37843,117037440,0.35852,0.466776,P NB,0.136238,NB-Wait
9,900,0.000406,1440,81276,37843,117037440,0.35852,0.466776,P NB,0.136238,NB-Wait
9,900,0.000406,1440,81276,37843,117037440,0.35852,0.466776,P NB,0.136238,NB-Wait
9,900,0.000406,1440,81276,37843,117037440,0.35852,0.466776,P NB,0.136238,NB-Wait
9,900,0.000406,1440,81276,37843,117037440,0.35852,0.466776,P NB,0.136238,NB-Wait
3,900,0.000409,1440,81276,40738,117037440,0.405997,0.455771,NB,0.357277,Block
3,900,0.000409,1440,81276,40738,117037440,0.405997,0.455771,NB,0.357277,Block
3,900,0.000409,1440,81276,40738,117037440,0.405997,0.455771,NB,0.357277,Block
3,900,0.000409,1440,81276,40738,117037440,0.405997,0.455771,NB,0.357277,Block
3,900,0.000409,1440,81276,40738,117037440,0.405997,0.455771,NB,0.357277,Block
?,900,0.000409,1440,81276,13687,117037440,0.136405,0.819189,?,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.133037,0.810744,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.136405,0.819189,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.133037,0.810744,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.136405,0.819189,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.133037,0.810744,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.136405,0.819189,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.133037,0.810744,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.136405,0.819189,B,?,No Block
3,900,0.000409,1440,81276,13687,117037440,0.133037,0.810744,B,?,No Block
3,900,0.00041,1440,81276,36121,117037440,0.306653,0.502238,P NB,0.073597,NB-Wait
3,900,0.00041,1440,81276,36121,117037440,0.306653,0.502238,P NB,0.073597,NB-Wait
3,900,0.00041,1440,81276,36121,117037440,0.306653,0.502238,P NB,0.073597,NB-Wait
3,900,0.00041,1440,81276,36121,117037440,0.306653,0.502238,P NB,0.073597,NB-Wait
3,900,0.00041,1440,81276,36121,117037440,0.306653,0.502238,P NB,0.073597,NB-Wait
?,800,0.00041,1440,72228,24509,104008320,0.254496,0.644112,B,0.050899,NB-Wait
3,800,0.00041,1440,72228,24509,104008320,0.254496,0.644112,B,0.050899,NB-Wait
3,800,0.00041,1440,72228,24509,104008320,0.254496,0.644112,B,0.050899,NB-Wait
3,800,0.00041,1440,72228,24509,104008320,0.254496,0.644112,B,0.050899,NB-Wait
3,800,0.00041,1440,72228,24509,104008320,0.254496,0.644112,B,0.050899,NB-Wait
3,900,0.000412,1440,81276,58712,117037440,0.53456,0.248116,NB,0.416957,Block
3,900,0.000412,1440,81276,58712,117037440,0.53456,0.248116,NB,0.416957,Block
3,900,0.000412,1440,81276,58712,117037440,0.53456,0.248116,NB,0.416957,Block
3,900,0.000412,1440,81276,58712,117037440,0.53456,0.248116,NB,0.416957,Block
3,900,0.000412,1440,81276,58712,117037440,0.53456,0.248116,NB,0.416957,Block
?,800,0.000414,1440,72228,53930,104008320,0.612264,0.223865,NB,0.465321,Block
?,800,0.000414,1440,72228,53930,104008320,0.612264,0.223865,NB,0.465321,Block
?,800,0.000414,1440,72228,53930,104008320,0.612264,0.223865,NB,0.465321,Block
9,800,0.000414,1440,72228,53930,104008320,0.612264,0.223865,NB,0.465321,Block
9,800,0.000414,1440,72228,53930,104008320,0.612264,0.223865,NB,0.465321,Block
3,900,0.000414,1440,81276,27167,117037440,0.217266,0.655817,B,0.036935,NB-No Block
3,900,0.000414,1440,81276,27167,117037440,0.217266,0.655817,B,0.036935,NB-No Block
3,900,0.000414,1440,81276,27167,117037440,0.217266,0.655817,B,0.036935,NB-No Block
